Date;ProductKey;RegionKey;Amount
2025-01-01;1;1;1497888,97
2025-01-01;1;2;1048522,28
2025-01-01;1;3;748944,48
2025-01-01;1;4;449366,69
2025-02-01;1;1;1512034,74
2025-02-01;1;2;1058424,32
2025-02-01;1;3;756017,37
2025-02-01;1;4;453610,42
2025-03-01;1;1;1579900,28
2025-03-01;1;2;1105930,20
2025-03-01;1;3;789950,14
2025-03-01;1;4;473970,08
2025-04-01;1;1;1539311,53
2025-04-01;1;2;1077518,07
2025-04-01;1;3;769655,76
2025-04-01;1;4;461793,46
2025-05-01;1;1;1618768,85
2025-05-01;1;2;1133138,20
2025-05-01;1;3;809384,43
2025-05-01;1;4;485630,66
2025-06-01;1;1;1583820,64
2025-06-01;1;2;1108674,45
2025-06-01;1;3;791910,32
2025-06-01;1;4;475146,19
2025-07-01;1;1;1468752,16
2025-07-01;1;2;1028126,51
2025-07-01;1;3;734376,08
2025-07-01;1;4;440625,65
2025-08-01;1;1;1411960,64
2025-08-01;1;2;988372,45
2025-08-01;1;3;705980,32
2025-08-01;1;4;423588,19
2025-09-01;1;1;1636990,95
2025-09-01;1;2;1145893,66
2025-09-01;1;3;818495,47
2025-09-01;1;4;491097,28
2025-10-01;1;1;1691094,85
2025-10-01;1;2;1183766,40
2025-10-01;1;3;845547,43
2025-10-01;1;4;507328,46
2025-11-01;1;1;1746520,31
2025-11-01;1;2;1222564,22
2025-11-01;1;3;873260,16
2025-11-01;1;4;523956,09
2025-12-01;1;1;1845615,93
2025-12-01;1;2;1291931,15
2025-12-01;1;3;922807,96
2025-12-01;1;4;553684,78
2025-01-01;2;1;1205925,99
2025-01-01;2;2;844148,19
2025-01-01;2;3;602963,00
2025-01-01;2;4;361777,80
2025-02-01;2;1;1211846,95
2025-02-01;2;2;848292,86
2025-02-01;2;3;605923,47
2025-02-01;2;4;363554,08
2025-03-01;2;1;1293067,98
2025-03-01;2;2;905147,58
2025-03-01;2;3;646533,99
2025-03-01;2;4;387920,39
2025-04-01;2;1;1294321,84
2025-04-01;2;2;906025,28
2025-04-01;2;3;647160,92
2025-04-01;2;4;388296,55
2025-05-01;2;1;1370919,05
2025-05-01;2;2;959643,34
2025-05-01;2;3;685459,53
2025-05-01;2;4;411275,72
2025-06-01;2;1;1317124,26
2025-06-01;2;2;921986,98
2025-06-01;2;3;658562,13
2025-06-01;2;4;395137,28
2025-07-01;2;1;1189260,77
2025-07-01;2;2;832482,54
2025-07-01;2;3;594630,38
2025-07-01;2;4;356778,23
2025-08-01;2;1;1129885,18
2025-08-01;2;2;790919,63
2025-08-01;2;3;564942,59
2025-08-01;2;4;338965,56
2025-09-01;2;1;1329410,93
2025-09-01;2;2;930587,65
2025-09-01;2;3;664705,46
2025-09-01;2;4;398823,28
2025-10-01;2;1;1412677,30
2025-10-01;2;2;988874,11
2025-10-01;2;3;706338,65
2025-10-01;2;4;423803,19
2025-11-01;2;1;1480321,94
2025-11-01;2;2;1036225,36
2025-11-01;2;3;740160,97
2025-11-01;2;4;444096,58
2025-12-01;2;1;1545661,24
2025-12-01;2;2;1081962,87
2025-12-01;2;3;772830,62
2025-12-01;2;4;463698,37
2025-01-01;3;1;791878,68
2025-01-01;3;2;554315,08
2025-01-01;3;3;395939,34
2025-01-01;3;4;237563,60
2025-02-01;3;1;812627,37
2025-02-01;3;2;568839,16
2025-02-01;3;3;406313,68
2025-02-01;3;4;243788,21
2025-03-01;3;1;890818,25
2025-03-01;3;2;623572,77
2025-03-01;3;3;445409,12
2025-03-01;3;4;267245,47
2025-04-01;3;1;898092,86
2025-04-01;3;2;628665,00
2025-04-01;3;3;449046,43
2025-04-01;3;4;269427,86
2025-05-01;3;1;934081,03
2025-05-01;3;2;653856,72
2025-05-01;3;3;467040,52
2025-05-01;3;4;280224,31
2025-06-01;3;1;873790,49
2025-06-01;3;2;611653,34
2025-06-01;3;3;436895,24
2025-06-01;3;4;262137,15
2025-07-01;3;1;779723,83
2025-07-01;3;2;545806,68
2025-07-01;3;3;389861,91
2025-07-01;3;4;233917,15
2025-08-01;3;1;751794,72
2025-08-01;3;2;526256,31
2025-08-01;3;3;375897,36
2025-08-01;3;4;225538,42
2025-09-01;3;1;909884,44
2025-09-01;3;2;636919,11
2025-09-01;3;3;454942,22
2025-09-01;3;4;272965,33
2025-10-01;3;1;981019,17
2025-10-01;3;2;686713,42
2025-10-01;3;3;490509,58
2025-10-01;3;4;294305,75
2025-11-01;3;1;1015736,73
2025-11-01;3;2;711015,71
2025-11-01;3;3;507868,36
2025-11-01;3;4;304721,02
2025-12-01;3;1;1032603,24
2025-12-01;3;2;722822,27
2025-12-01;3;3;516301,62
2025-12-01;3;4;309780,97
2025-01-01;4;1;621588,65
2025-01-01;4;2;435112,06
2025-01-01;4;3;310794,33
2025-01-01;4;4;186476,60
2025-02-01;4;1;655329,85
2025-02-01;4;2;458730,89
2025-02-01;4;3;327664,92
2025-02-01;4;4;196598,95
2025-03-01;4;1;723550,46
2025-03-01;4;2;506485,32
2025-03-01;4;3;361775,23
2025-03-01;4;4;217065,14
2025-04-01;4;1;716299,65
2025-04-01;4;2;501409,76
2025-04-01;4;3;358149,83
2025-04-01;4;4;214889,90
2025-05-01;4;1;725380,49
2025-05-01;4;2;507766,35
2025-05-01;4;3;362690,25
2025-05-01;4;4;217614,15
2025-06-01;4;1;670612,72
2025-06-01;4;2;469428,90
2025-06-01;4;3;335306,36
2025-06-01;4;4;201183,81
2025-07-01;4;1;607304,53
2025-07-01;4;2;425113,17
2025-07-01;4;3;303652,27
2025-07-01;4;4;182191,36
2025-08-01;4;1;602319,63
2025-08-01;4;2;421623,74
2025-08-01;4;3;301159,82
2025-08-01;4;4;180695,89
2025-09-01;4;1;739641,92
2025-09-01;4;2;517749,34
2025-09-01;4;3;369820,96
2025-09-01;4;4;221892,58
2025-10-01;4;1;787958,29
2025-10-01;4;2;551570,80
2025-10-01;4;3;393979,15
2025-10-01;4;4;236387,49
2025-11-01;4;1;794330,21
2025-11-01;4;2;556031,14
2025-11-01;4;3;397165,10
2025-11-01;4;4;238299,06
2025-12-01;4;1;793090,32
