Date;CustomerKey;ProductKey;AccountKey;Value
2023-01-01;1;1;1;279
2023-01-01;1;1;2;38502
2023-01-01;1;1;3;5250
2023-01-01;1;1;4;22878
2023-01-01;2;1;1;201
2023-01-01;2;1;2;27738
2023-01-01;2;1;3;3782
2023-01-01;2;1;4;16482
2023-01-01;3;1;1;241
2023-01-01;3;1;2;33258
2023-01-01;3;1;3;4535
2023-01-01;3;1;4;19762
2023-01-01;4;1;1;201
2023-01-01;4;1;2;27738
2023-01-01;4;1;3;3782
2023-01-01;4;1;4;16482
2023-01-01;5;1;1;221
2023-01-01;5;1;2;30498
2023-01-01;5;1;3;4159
2023-01-01;5;1;4;18122
2023-01-01;6;1;1;166
2023-01-01;6;1;2;22908
2023-01-01;6;1;3;5029
2023-01-01;6;1;4;13612
2023-01-01;7;1;1;129
2023-01-01;7;1;2;17802
2023-01-01;7;1;3;3908
2023-01-01;7;1;4;10578
2023-01-01;8;1;1;84
2023-01-01;8;1;2;11592
2023-01-01;8;1;3;1008
2023-01-01;8;1;4;6888
2023-01-01;9;1;1;67
2023-01-01;9;1;2;9246
2023-01-01;9;1;3;804
2023-01-01;9;1;4;5494
2023-01-01;10;1;1;174
2023-01-01;10;1;2;24012
2023-01-01;10;1;3;4237
2023-01-01;10;1;4;14268
2023-01-01;11;1;1;130
2023-01-01;11;1;2;17940
2023-01-01;11;1;3;3166
2023-01-01;11;1;4;10660
2023-01-01;12;1;1;87
2023-01-01;12;1;2;12006
2023-01-01;12;1;3;2119
2023-01-01;12;1;4;7134
2023-01-01;1;2;1;227
2023-01-01;1;2;2;34504
2023-01-01;1;2;3;4705
2023-01-01;1;2;4;19522
2023-01-01;2;2;1;162
2023-01-01;2;2;2;24624
2023-01-01;2;2;3;3358
2023-01-01;2;2;4;13932
2023-01-01;3;2;1;195
2023-01-01;3;2;2;29640
2023-01-01;3;2;3;4042
2023-01-01;3;2;4;16770
2023-01-01;4;2;1;162
2023-01-01;4;2;2;24624
2023-01-01;4;2;3;3358
2023-01-01;4;2;4;13932
2023-01-01;5;2;1;178
2023-01-01;5;2;2;27056
2023-01-01;5;2;3;3689
2023-01-01;5;2;4;15308
2023-01-01;6;2;1;134
2023-01-01;6;2;2;20368
2023-01-01;6;2;3;4471
2023-01-01;6;2;4;11524
2023-01-01;7;2;1;104
2023-01-01;7;2;2;15808
2023-01-01;7;2;3;3470
2023-01-01;7;2;4;8944
2023-01-01;8;2;1;68
2023-01-01;8;2;2;10336
2023-01-01;8;2;3;899
2023-01-01;8;2;4;5848
2023-01-01;9;2;1;54
2023-01-01;9;2;2;8208
2023-01-01;9;2;3;714
2023-01-01;9;2;4;4644
2023-01-01;10;2;1;141
2023-01-01;10;2;2;21432
2023-01-01;10;2;3;3782
2023-01-01;10;2;4;12126
2023-01-01;11;2;1;105
2023-01-01;11;2;2;15960
2023-01-01;11;2;3;2816
2023-01-01;11;2;4;9030
2023-01-01;12;2;1;70
2023-01-01;12;2;2;10640
2023-01-01;12;2;3;1878
2023-01-01;12;2;4;6020
2023-01-01;1;3;1;113
2023-01-01;1;3;2;18984
2023-01-01;1;3;3;2589
2023-01-01;1;3;4;10396
2023-01-01;2;3;1;80
2023-01-01;2;3;2;13440
2023-01-01;2;3;3;1833
2023-01-01;2;3;4;7360
2023-01-01;3;3;1;96
2023-01-01;3;3;2;16128
2023-01-01;3;3;3;2199
2023-01-01;3;3;4;8832
2023-01-01;4;3;1;80
2023-01-01;4;3;2;13440
2023-01-01;4;3;3;1833
2023-01-01;4;3;4;7360
2023-01-01;5;3;1;88
2023-01-01;5;3;2;14784
2023-01-01;5;3;3;2016
2023-01-01;5;3;4;8096
2023-01-01;6;3;1;66
2023-01-01;6;3;2;11088
2023-01-01;6;3;3;2434
2023-01-01;6;3;4;6072
2023-01-01;7;3;1;51
2023-01-01;7;3;2;8568
2023-01-01;7;3;3;1881
2023-01-01;7;3;4;4692
2023-01-01;8;3;1;33
2023-01-01;8;3;2;5544
2023-01-01;8;3;3;482
2023-01-01;8;3;4;3036
2023-01-01;9;3;1;27
2023-01-01;9;3;2;4536
2023-01-01;9;3;3;394
2023-01-01;9;3;4;2484
2023-01-01;10;3;1;69
2023-01-01;10;3;2;11592
2023-01-01;10;3;3;2046
2023-01-01;10;3;4;6348
2023-01-01;11;3;1;52
2023-01-01;11;3;2;8736
2023-01-01;11;3;3;1542
2023-01-01;11;3;4;4784
2023-01-01;12;3;1;35
2023-01-01;12;3;2;5880
2023-01-01;12;3;3;1038
2023-01-01;12;3;4;3220
2023-01-01;1;4;1;83
2023-01-01;1;4;2;12450
2023-01-01;1;4;3;1698
2023-01-01;1;4;4;7304
2023-01-01;2;4;1;61
2023-01-01;2;4;2;9150
2023-01-01;2;4;3;1248
2023-01-01;2;4;4;5368
2023-01-01;3;4;1;73
2023-01-01;3;4;2;10950
2023-01-01;3;4;3;1493
2023-01-01;3;4;4;6424
2023-01-01;4;4;1;61
2023-01-01;4;4;2;9150
2023-01-01;4;4;3;1248
2023-01-01;4;4;4;5368
2023-01-01;5;4;1;67
2023-01-01;5;4;2;10050
2023-01-01;5;4;3;1370
2023-01-01;5;4;4;5896
2023-01-01;6;4;1;54
2023-01-01;6;4;2;8100
2023-01-01;6;4;3;1778
2023-01-01;6;4;4;4752
2023-01-01;7;4;1;42
2023-01-01;7;4;2;6300
2023-01-01;7;4;3;1383
2023-01-01;7;4;4;3696
2023-01-01;8;4;1;33
2023-01-01;8;4;2;4950
2023-01-01;8;4;3;430
2023-01-01;8;4;4;2904
2023-01-01;9;4;1;27
2023-01-01;9;4;2;4050
2023-01-01;9;4;3;352
2023-01-01;9;4;4;2376
2023-01-01;10;4;1;44
2023-01-01;10;4;2;6600
2023-01-01;10;4;3;1165
2023-01-01;10;4;4;3872
2023-01-01;11;4;1;33
2023-01-01;11;4;2;4950
2023-01-01;11;4;3;874
2023-01-01;11;4;4;2904
2023-01-01;12;4;1;22
2023-01-01;12;4;2;3300
2023-01-01;12;4;3;582
2023-01-01;12;4;4;1936
2023-01-01;1;5;1;44
2023-01-01;1;5;2;7568
2023-01-01;1;5;3;1032
2023-01-01;1;5;4;4180
2023-01-01;2;5;1;30
2023-01-01;2;5;2;5160
2023-01-01;2;5;3;704
2023-01-01;2;5;4;2850
2023-01-01;3;5;1;36
